product_id,product_url,title,size,thickness_mm,color,texture_or_material,finish,image_urls_json,image_count,single_tile_image_url,site
mytyles_porcelain-moroccan-tile-Code26417-600x600mm-m,https://mytyles.com/product/porcelain-moroccan-tile-Code26417-600x600mm-matt,Buy 2x2 ft Moroccan Wall & Floor Tile Online |,300x450 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/611ae4-4050-217-de1e-0f2550870e27/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/611ae4-4050-217-de1e-0f2550870e27/1200x1200.webp,mytyles
mytyles_imported-moroccan-tile-code9574-450x450mm-mat,https://mytyles.com/product/imported-moroccan-tile-code9574-450x450mm-matt,Buy 18x18 Inch Moroccan Floor & Wall Tile Code9574 Online |,18x18 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/88b43-ea1b-6cf1-b0b-57a33a8672d/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/88b43-ea1b-6cf1-b0b-57a33a8672d/1200x1200.webp,mytyles
mytyles_octagon-floor-and-wall-tile-code17368-rustic-,https://mytyles.com/product/octagon-floor-and-wall-tile-code17368-rustic-matt-500x500mm,Imported Octagon Tiles Code 4006 at Best Price,300x450 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/dd32825-ddd-1a31-ad85-28f3cb3245fa/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/dd32825-ddd-1a31-ad85-28f3cb3245fa/1200x1200.webp,mytyles
mytyles_imported-white-and-blue-mosaic-floor-and-wall,https://mytyles.com/product/imported-white-and-blue-mosaic-floor-and-wall-tile-code30495-288x297mm-matt,12x12 Inch Porcelain Matt Finish Tile for Floor & Wall - Durable & Elegant | Code30495,12x12 mm,,white,porcelain,matte,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/b07ab25-765e-f078-f2f7-d48f2fec71/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/b07ab25-765e-f078-f2f7-d48f2fec71/1200x1200.webp,mytyles
mytyles_white-and-blue-moroccan-floor-and-wall-tile-c,https://mytyles.com/product/white-and-blue-moroccan-floor-and-wall-tile-code36701-600x600mm-matt,Buy 2x2 ft Pocelain Moroccan Tile Code36701 Online | Mytyles,300x450 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/ff0465a-4a3a-4c55-dbc6-574636d8cf6c/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/ff0465a-4a3a-4c55-dbc6-574636d8cf6c/1200x1200.webp,mytyles
mytyles_porcelain-moroccan-tile-code24728-600x600mm-m,https://mytyles.com/product/porcelain-moroccan-tile-code24728-600x600mm-matt,Buy 2x2 ft Moroccan Floor & Wall Tile code24728 Online |,300x450 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/4e3bb16-6be-6026-b6d7-7f61a6f1731/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/4e3bb16-6be-6026-b6d7-7f61a6f1731/1200x1200.webp,mytyles
mytyles_porcelain-white-elevation-wall-tile-code29250,https://mytyles.com/product/porcelain-white-elevation-wall-tile-code29250-300x600mm-matt,1x2 Ft Elevation Wall Tile -code29250 Durable Porcelain Tile for Walls,300x450 mm,,white,porcelain,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/40a2b37-bfe1-338d-2c20-453f06eb887/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/40a2b37-bfe1-338d-2c20-453f06eb887/1200x1200.webp,mytyles
mytyles_porcelain-white-terrazzo-floor-and-wall-tile-,https://mytyles.com/product/porcelain-white-terrazzo-floor-and-wall-tile-code36688-600x600mm-matt,Buy 2x2 ft Porcelain Terrazzo Tile Code36688 Online | MyTyles,300x450 mm,,white,porcelain,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/410145-4b40-7ba7-2e2-38188ef7c5/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/410145-4b40-7ba7-2e2-38188ef7c5/1200x1200.webp,mytyles
mytyles_porcelain-green-octogonal-floor-and-wall-tile,https://mytyles.com/product/porcelain-green-octogonal-floor-and-wall-tile-code35976-600x600mm-matt,Buy 2x2 ft Porcelain Octogonal Tile Code35976 Online | MyTyles,300x450 mm,,white,porcelain,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/78b55e0-284-a826-3dad-3d8c88b6c6fe/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/78b55e0-284-a826-3dad-3d8c88b6c6fe/1200x1200.webp,mytyles
mytyles_porcelain-plain-white-floor-and-wall-tile-cod,https://mytyles.com/product/porcelain-plain-white-floor-and-wall-tile-code27690-600x600mm-matt,Buy 2x2 ft Porcelain Floor and Wall Tile Code27690 Online | Mytyles,300x450 mm,,white,porcelain,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/8ecbd41-acc1-27c8-5570-58aefd326cf0/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/8ecbd41-acc1-27c8-5570-58aefd326cf0/1200x1200.webp,mytyles
